,0
zydh_tfidf_fea7,0.10618189758465842
jyqd_w2v_fea4,0.1056333271558886
jyqd_ratio_max,0.10520452563894159
zhdh_jdbj0_jyrq_weekofyear_min,0.10520420145444609
zhdh_jdbj1_jyrq_hour_mean,0.10517757273676435
zhdh_jdbj0_jyje_median,0.10366156158256556
jdbj0_most_weekofyear,0.10146600495535188
jyqd_w2v_fea8,0.10139336787675761
zhdh_jdbj1_jyrq_is_wknd_mean,0.10104188199366522
091D584F_ratio,0.10100500447121834
in_out_ratio,0.0998835768205057
jdbj_1,0.09938318091504267
zhdh_jdbj0_jyje_benford_correlation,0.0987461377978975
zydh_jyrq_ratio_max,0.09871003433508435
zhdh_jdbj1_jyje_sum,0.09853360048889784
zydh_ratio_std,0.09827294029915648
zhdh_jdbj0_jyrq_day_ptp,0.09744521571917666
zhdh_jdbj1_jyrq_hour_median,0.09740057193176245
zhdh_jdbj1_jyrq_dayofyear_median,0.09724890239489734
jdbj0_most_zydh,0.09687691125929618
zhdh_jdbj0_jyrq_day_max,0.09666578534115504
day_ratio_mean,0.09618792211027169
zhdh_jdbj0_jyrq_is_wknd_mean,0.09542941291432928
jdbj0_most_hour,0.09526963583381425
zhdh_jdbj0_jyrq_month_median,0.09485641047720807
jyje_label_7,0.09474897325801146
in_out_diff,0.09469639319060423
is_month_end_ratio_sum,0.09398483132133245
jyqd_jyrq_ratio_max,0.09382255222774562
jyqd_tfidf_fea1,0.09368819377639506
zydh_tfidf_fea6,0.09356259764649022
most_jyje_month,0.09331747275835044
zhdh_jdbj1_jyrq_month_max,0.09290575151100824
zhdh_jdbj1_jyrq_weekofyear_median,0.09232952006334967
jdbj1_jyje_var_coeff,0.09165257170889184
zhdh_jdbj0_jyje_count_above_mean,0.09096112818360105
zhdh_jdbj1_jyje_percentage_of_reoccurring_datapoints_to_all_datapoints,0.09021218464832889
is_month_start_ratio_std,0.08959603097617046
jyje_label_8,0.08940504756741961
zhdh_jdbj0_jyrq_weekofyear_mean,0.08877455384167861
zydh_w2v_fea11,0.08832590538458257
091D584F_sum,0.08790633804932113
jyje_label_6,0.08788505256852967
zydh_tfidf_fea2,0.08735104887273157
minu_ratio_std,0.08598374089603217
